"year","CI_high","CI_low","LPI_final","n_points"
"2004",1.13973843222834,0.961403065174844,1.04481612883195,6
"2005",1.1480485370383,0.965571895492079,1.05044030889021,6
"2006",1.15498125444291,0.96907656633722,1.05579595413775,6
"2007",1.16080486929394,0.971891565808575,1.06001239545609,6
"2008",1.16099200604654,0.968276626123762,1.05822112273417,6
"2009",1.15928384856985,0.963371629215766,1.05489295540622,6
"2010",1.15637705573133,0.958556823537162,1.05093308738148,6
"2011",1.15307590778886,0.952826531077421,1.04658369875779,6
"2012",1.15045210980941,0.947909201499666,1.04305446707589,6
"2013",1.14923475745935,0.944992713275103,1.04074721032833,6
"2014",1.14980751307207,0.941588522365579,1.03949508576011,6
"2015",1.15534637566162,0.944122701413684,1.04296015878762,6
"2016",1.15932706034384,0.945486354224754,1.04588237190697,6
"2017",1.15564366447294,0.941402627605914,1.04248626674225,6
"2018",1.14646213912644,0.933229967133136,1.03339200345732,6
"2019",1.14485085949918,0.930410042780005,1.03091559321185,6
"2020",1.14573544643264,0.928518039002398,1.03064865977016,6
"2021",1.14868331490994,0.927110046937067,1.03025205346958,6
"2022",1.14596785651343,0.919360698559411,1.02488396682586,6
"1970",1,1,1,15
"1971",1.02943358822757,1.01308559106431,1.02142158160934,15
"1972",1.0520710027369,1.02341117130102,1.03787388122495,15
"1973",1.06661640581275,1.02724254382318,1.04689301730618,15
"1974",1.07927703700523,1.03099867173907,1.05467301619451,15
"1975",1.09074006517808,1.03489780918464,1.06243684931469,15
"1976",1.09801129201969,1.03569877399073,1.06692390006033,15
"1977",1.10210967959032,1.03290158295177,1.0677644237677,15
"1978",1.10707616792842,1.03047642873919,1.06900153403984,15
"1979",1.11583183366695,1.03209304256835,1.0739448849922,15
"1980",1.12718412335065,1.03697600695826,1.08180982649643,15
"1981",1.1355074267696,1.04109655505452,1.08777311726695,15
"1982",1.13907235236613,1.04076287689475,1.08949149004585,15
"1983",1.14221269436167,1.0407632126064,1.09085975029922,15
"1984",1.14728141457266,1.04189961036764,1.09400263681032,15
"1985",1.15340877189008,1.04344572274129,1.09775804910069,15
"1986",1.15901500540304,1.04607300192841,1.10183389998747,15
"1987",1.16277565096158,1.04670839771605,1.10381950505853,15
"1988",1.16509888320418,1.04669717489624,1.10503358931351,15
"1989",1.16905553771971,1.0467287980358,1.10669649927481,15
"1990",1.17312813245496,1.04654921806668,1.10838149109109,15
"1991",1.17150224156604,1.04064690672833,1.10443758664648,15
"1992",1.16821870043263,1.03241318021752,1.09799764198742,15
"1993",1.17314671832525,1.0311259099343,1.09961511622496,15
"1994",1.18004827734596,1.03108578092892,1.10283292229316,15
"1995",1.18470353268097,1.03002979864138,1.10430355131154,15
"1996",1.1880324620515,1.02884364807387,1.10524320900819,15
