ID,min_year,max_year
1261,1970,1994
1262,1972,1994
1263,1971,1994
1264,1970,1994
1265,1971,1994
1266,1972,1994
1267,1970,1994
1268,1970,1994
1269,1971,1993
1270,1970,1994
1271,1971,2016
1272,1995,2022
1273,1995,2022
1274,2005,2015
1275,2004,2016
1276,2004,2013
1277,2005,2011
1279,2005,2015
1280,2010,2016
1281,1979,1993
1282,1974,1988
1283,1974,1987
1284,1979,1987
1285,1974,1987
1286,1972,1990
1287,1986,1993
1288,2007,2015
1289,2006,2012
1290,2006,2016
1291,1971,1990
1292,1970,1994
1293,1970,1982
1294,1973,1994
1295,1970,1994
1296,1970,1994
1297,1973,1994
1298,1970,1994
1299,1970,1994
1300,1970,1994
1301,1970,1994
1302,1973,1994
1303,1982,1994
1304,1995,2022
1305,1995,2022
1306,2012,2014
1307,2005,2015
1308,2005,2015
1309,2008,2016
1310,2008,2014
1311,2003,2021
1312,2005,2021
1313,2004,2016
1314,2006,2016
1315,2011,2015
1316,2009,2015
1317,2008,2016
1318,2010,2016
1319,2004,2011
1320,2010,2014
1321,1973,1993
1322,1971,1993
1323,1982,1991
1324,1972,1992
1325,1972,1992
1326,1985,1994
1327,1981,1985
1328,1974,2016
1329,1978,1988
1330,1978,1988
1331,1978,1994
1332,1971,1994
1333,1984,1994
1334,1983,1994
1335,1983,1994
1336,1985,1994
1337,1983,1994
1338,1971,1994
1339,1970,1994
1340,1984,1994
1341,1974,2016
1342,1995,2022
