year,CI_low,CI_high,LPI_final,type
1991,0.950966860986696,1.08501070154074,1.01618394273003,one
1992,0.946033056960541,1.0838584195343,1.01262641889124,one
1993,0.948436254838091,1.09079578693949,1.01710857334984,one
1994,0.95301300995557,1.10023486281689,1.023880193459,one
1995,0.952805345007006,1.1029891503783,1.02464930560567,one
1996,0.954887585536124,1.10857739006637,1.02896147805037,one
1997,0.952183742102476,1.10664796468263,1.02671786453337,one
1998,0.939649565391134,1.09562823737632,1.01530753802485,one
1999,0.925676933614457,1.08338160607687,1.0023375840351,one
2000,0.917263677951756,1.0779331303022,0.995082079065972,one
2001,0.912660829590452,1.07739570983981,0.992104611334828,one
2002,0.910190226623759,1.07847225254852,0.991229444642003,one
2003,0.906447829995592,1.07850758617144,0.989551295087002,one
2004,0.906321569426707,1.08093335984883,0.990614384574781,one
2005,0.910291756630845,1.08673077122758,0.99543013134299,one
2006,0.910864841560596,1.09050991657955,0.997110973936053,one
2007,0.910507651626817,1.09390571472309,0.998942733294781,one
2008,0.906059769432589,1.09304970802724,0.995906782975126,one
2009,0.899643981180775,1.0896746008153,0.991159967847811,one
2010,0.895373077463182,1.08814099121564,0.987930933146233,one
2011,0.89263757172188,1.08834445547565,0.986319153214854,one
2012,0.888687299908914,1.08814226112198,0.983931752677462,one
2013,0.886635548109198,1.08939584890643,0.983969226452175,one
2014,0.887375923634385,1.09426095626645,0.986185744215629,one
2015,0.891421106331241,1.10200756097585,0.991497248964369,one
2016,0.893336487227026,1.10763963772023,0.995260912871849,one
2017,0.888773979661978,1.10424979475472,0.991241202753438,one
2018,0.882569820385907,1.09993226407338,0.98561895577558,one
2019,0.883701205681437,1.10465091536448,0.987628254136867,one
2020,0.886309266675289,1.11027561807269,0.99206745774978,one
2021,0.888401704661158,1.11510886139106,0.995878808575602,one
2022,0.883619005389808,1.11483003579986,0.993597326956954,one
1970,1,1,1,small_value
1971,0.986710230208683,1.02223070197494,1.00379548573006,small_value
1972,0.966585356838947,1.03525629602504,0.999379151119424,small_value
1973,0.944408919920603,1.04332394643214,0.990831461942799,small_value
1974,0.920905251228474,1.04406896665201,0.978039858539426,small_value
1975,0.896783266645235,1.04305780670997,0.963979969783433,small_value
1976,0.894453426740016,1.04664752725721,0.964950406163148,small_value
1977,0.894319136831118,1.05541267371001,0.96925145804222,small_value
1978,0.903553174356749,1.07435394377877,0.983290313758961,small_value
1979,0.916115010801564,1.0994578603302,1.00189738740797,small_value
1980,0.928101771571409,1.12331055613795,1.01997333736764,small_value
1981,0.936587029138167,1.14011959310299,1.03280261508205,small_value
1982,0.93722214478073,1.1481629807216,1.03688709974273,small_value
1983,0.935898746014488,1.1529900442968,1.03852899378826,small_value
1984,0.934860566022294,1.1554609225319,1.0392129822846,small_value
1985,0.939009438562945,1.1636059618785,1.044992993914,small_value
1986,0.941566425596422,1.16787961326966,1.04849556302842,small_value
1987,0.942256690880071,1.16914766305362,1.04991296657612,small_value
1988,0.947357457035996,1.17585027213355,1.05530394474633,small_value
