"","LPI_final","CI_low","CI_high","zero_option","year"
"144",1.00635716382056,0.901702162474248,1.13584703007973,"plusone","2015"
"145",1.01688769973757,0.916119999000921,1.14144575868694,"plusone","2016"
"146",1.01228317065314,0.923680876911032,1.13863924661765,"plusone","2017"
"147",1.0230727047225,0.924304693653332,1.14451512524636,"plusone","2018"
"148",1,1,1,"NAs","1970"
"149",1.02276075687444,1.00443309510066,1.03708110423744,"NAs","1971"
"150",1.04437556770788,1.02301515287826,1.0691992652385,"NAs","1972"
"151",1.0590878797079,1.02443771021206,1.0896850930473,"NAs","1973"
"152",1.05754676705375,1.02143386386929,1.09161214880176,"NAs","1974"
"153",1.07218111529461,1.02267448769353,1.10622752782491,"NAs","1975"
"154",1.07099458466135,1.02293548610421,1.10824669481497,"NAs","1976"
"155",1.06114360942716,1.00708877705425,1.10933874639685,"NAs","1977"
"156",1.05173986744961,0.993542117911668,1.11221627757667,"NAs","1978"
"157",1.05400623550533,0.993386593823717,1.10740062217097,"NAs","1979"
"158",1.07878555663486,1.01354145180308,1.13203748615773,"NAs","1980"
"159",1.0784384548409,1.01555791095097,1.13283774624997,"NAs","1981"
"160",1.07592510140443,1.00700552438472,1.13380826373671,"NAs","1982"
"161",1.07072362303521,0.993239334282251,1.1361680554851,"NAs","1983"
"162",1.09195018808054,1.01635063577508,1.16811097118382,"NAs","1984"
"163",1.10552005121433,1.02555486888046,1.18115803882725,"NAs","1985"
"164",1.10188878898189,1.01827509795002,1.17627857883344,"NAs","1986"
"165",1.09249920725475,1.00989397748952,1.1610790197176,"NAs","1987"
"166",1.08444631570072,1.00284571118655,1.14846138968607,"NAs","1988"
"167",1.09408116279455,1.01641735887,1.16321434070435,"NAs","1989"
"168",1.08963792540653,1.00940369124712,1.15494080391265,"NAs","1990"
"169",1.11291747292826,1.02216068392621,1.19185211136506,"NAs","1991"
"170",1.09735907958286,1.01176796928625,1.186003997185,"NAs","1992"
"171",1.12605222158512,1.03537961722174,1.21591602822141,"NAs","1993"
"172",1.10467059897569,1.00957552306094,1.20074873245898,"NAs","1994"
"173",1.10832385273755,1.01022739101997,1.20496937704954,"NAs","1995"
"174",1.10181590872043,1.00561894045975,1.20848311050442,"NAs","1996"
"175",1.10118447830224,1.01333706597615,1.20994013021494,"NAs","1997"
"176",1.08501736705231,0.991975259742155,1.18229668823229,"NAs","1998"
"177",1.07358761863269,0.97639541738953,1.16902962436376,"NAs","1999"
"178",1.07130163040356,0.971224127762956,1.17790241125415,"NAs","2000"
"179",1.06729927149775,0.964030356609121,1.18409451757508,"NAs","2001"
"180",1.0427240220999,0.947222816831925,1.14962679668602,"NAs","2002"
"181",1.05139399201018,0.952869424823403,1.15725867053183,"NAs","2003"
"182",1.08243909095607,0.989977964149653,1.19827862528342,"NAs","2004"
"183",1.0771292855994,0.9870419964776,1.19730945937015,"NAs","2005"
"184",1.08073138758798,0.990075021112824,1.19921591192311,"NAs","2006"
"185",1.05802343201256,0.965151787642903,1.17172491063883,"NAs","2007"
"186",1.0638628675079,0.975097983670877,1.19123301221231,"NAs","2008"
"187",1.04576980872536,0.959126370630167,1.17649148036361,"NAs","2009"
"188",1.05469719314921,0.970615780870768,1.19500651737131,"NAs","2010"
"189",1.06957876649593,0.978730506841734,1.21591175226766,"NAs","2011"
"190",1.07208532332667,0.982505343968709,1.21080197724511,"NAs","2012"
"191",1.04798764799915,0.960663072455941,1.17850024855437,"NAs","2013"
"192",1.01232916715354,0.921804285512871,1.14131949340126,"NAs","2014"
"193",1.01791652699008,0.921724075906254,1.14954196150044,"NAs","2015"
"194",1.02925565037402,0.926830114743621,1.16994851453721,"NAs","2016"
"195",1.02434372293776,0.922395011304432,1.16309702748872,"NAs","2017"
"196",1.03346391632535,0.914732354388646,1.18538645395352,"NAs","2018"
"197",1,1,1,"small_value","1970"
"198",1.03294941789947,0.999397532211896,1.0547736914336,"small_value","1971"
"199",1.05927343698788,1.02615878769234,1.09038512272531,"small_value","1972"
"200",1.07486750286885,1.04169325684805,1.11514789044775,"small_value","1973"
"201",1.08210572956105,1.0380077679494,1.12689324035159,"small_value","1974"
"202",1.09275820968635,1.03670382623524,1.15532856417676,"small_value","1975"
"203",1.09959994674602,1.03832940979155,1.16189188548927,"small_value","1976"
"204",1.09798524037056,1.03512581041057,1.16119116838861,"small_value","1977"
"205",1.10276730925657,1.03472489840526,1.17365930669182,"small_value","1978"
"206",1.12233182441674,1.04317531256996,1.19680454453115,"small_value","1979"
"207",1.15448956143581,1.0851547024297,1.23723965650688,"small_value","1980"
"208",1.16264579948228,1.08690306874721,1.24501545214592,"small_value","1981"
"209",1.16500896220654,1.0871249943039,1.24418946673604,"small_value","1982"
"210",1.15891351245278,1.0827134284319,1.24832972671673,"small_value","1983"
"211",1.18786712876419,1.09690614147455,1.27878765595332,"small_value","1984"
"212",1.19867909397151,1.11214447095997,1.29015230841192,"small_value","1985"
"213",1.20006313740024,1.11613601475452,1.29397051246301,"small_value","1986"
"214",1.19011382396174,1.10415712625734,1.29096164432738,"small_value","1987"
"215",1.19449568140429,1.10932959275078,1.29344973865108,"small_value","1988"
"216",1.22277523153997,1.13887962999559,1.33630832276522,"small_value","1989"
"217",1.22126146678395,1.12642971483353,1.3376859321341,"small_value","1990"
"218",1.24490512841174,1.14837822771008,1.37444540567648,"small_value","1991"
"219",1.22285820232757,1.12837754966264,1.35425463067883,"small_value","1992"
"220",1.25197030596175,1.15076215958907,1.39632941465608,"small_value","1993"
"221",1.21982905662522,1.119552584187,1.358738742746,"small_value","1994"
"222",1.21823727446319,1.10441675450419,1.3701551699485,"small_value","1995"
"223",1.19430187848531,1.09561757580302,1.34122428105304,"small_value","1996"
"224",1.19056234800853,1.08760522355677,1.34506780093653,"small_value","1997"
"225",1.18067739843713,1.0769553394193,1.33696035338357,"small_value","1998"
"226",1.15813820554965,1.05609704293636,1.32051633917246,"small_value","1999"
"227",1.14761171663841,1.04473450531976,1.30077123358015,"small_value","2000"
"228",1.13220005630241,1.02111102471616,1.28092276380355,"small_value","2001"
"229",1.10073336754443,0.979162949687552,1.25042389164217,"small_value","2002"
"230",1.11577086114267,0.98421939177226,1.27155047760891,"small_value","2003"
"231",1.1674802142591,1.01411913847993,1.33098084960843,"small_value","2004"
"232",1.16380974695753,1.01739569170828,1.33852725653308,"small_value","2005"
"233",1.1767468186562,1.03852373911616,1.34107274223281,"small_value","2006"
"234",1.14755635748837,1.00990165389389,1.31867508110083,"small_value","2007"
"235",1.15298690095797,1.02839420749946,1.32063111731536,"small_value","2008"
"236",1.1353075114143,1.00817544916163,1.29142760971059,"small_value","2009"
"237",1.15014352601654,1.0254306409641,1.32000401612737,"small_value","2010"
"238",1.17094993243705,1.03649632758427,1.34208246139012,"small_value","2011"
"239",1.17640318232021,1.03135136973006,1.34593671615051,"small_value","2012"
"240",1.14874392763885,1.0048501051088,1.31714003821787,"small_value","2013"
"241",1.11239387553679,0.970144821796972,1.27471707267999,"small_value","2014"
"242",1.12307429073139,0.975077912991755,1.29589209832859,"small_value","2015"
"243",1.13739519409978,0.996491153645222,1.31224971097492,"small_value","2016"
"244",1.13451500100029,0.975754377962415,1.32149992420316,"small_value","2017"
"245",1.14851263826362,0.989575798282488,1.34276568037533,"small_value","2018"
